date,direct_burn,direct_burn_kbd,temp_mean_mean,temp_mean_max,temp_mean_std,temp_max_mean,temp_max_max,temp_min_mean,temp_min_min,temp_range_mean,temp_range_max,extreme_heat_sum,very_hot_sum,hot_sum,cooling_degree_days_24_sum,humidity_mean_mean,precipitation_sum,heat_index_mean,heat_index_max,temp_mean_mean_ma3,cooling_degree_days_24_sum_ma3,temp_mean_mean_ma6,cooling_degree_days_24_sum_ma6,temp_mean_lag1,temp_mean_lag2,temp_mean_lag12,month,quarter,month_sin,month_cos,direct_burn_lag1,direct_burn_lag2,direct_burn_lag3,direct_burn_lag12,direct_burn_ma3,direct_burn_ma6,direct_burn_ma12,is_summer,summer_heat,humidity_heat
2012-05-01,559000,559.0,32.201075268817206,34.00833333333333,0.8742503188856637,37.755376344086024,39.725,25.344354838709677,22.833333333333332,12.411021505376345,14.89166666666667,0,0,0,254.2333333333333,32.68010752688172,0.11666666666666665,35.39060301037123,38.98604445255454,26.611305256869773,111.66666666666663,22.374259722737197,55.9986111111111,26.35972222222222,21.273118279569893,31.24462365591398,5,2,0.49999999999999994,-0.8660254037844387,441.0,377.0,303.0,696.0,459.0,406.3333333333333,510.4166666666667,0,0.0,10.523346022661581
2012-06-01,778000,778.0,33.465833333333336,35.13333333333333,0.8049991968297576,39.371944444444445,40.975,26.25611111111111,24.8,13.115833333333335,14.600000000000005,0,0,9,283.975,30.369444444444447,0.0,36.632577968597694,40.31202049512674,30.675543608124254,203.9194444444444,25.083887858937914,103.32777777777778,32.201075268817206,26.35972222222222,32.966388888888886,6,2,1.2246467991473532e-16,-1.0,559.0,441.0,377.0,616.0,592.6666666666666,465.3333333333333,523.9166666666666,1,33.465833333333336,10.163387662037039
2012-07-01,742000,742.0,34.96370967741935,36.46666666666666,1.0079786988561177,40.44005376344086,42.46666666666666,28.219892473118282,25.633333333333336,12.220161290322581,13.86666666666667,0,1,21,339.875,33.22849462365592,0.0,39.79112246317901,42.641312723858896,33.543539426523296,292.6944444444444,27.955930869690604,159.97361111111113,33.465833333333336,32.201075268817206,34.26424731182796,7,3,-0.4999999999999997,-0.8660254037844388,778.0,559.0,441.0,706.0,693.0,533.3333333333334,526.9166666666666,1,34.96370967741935,11.617914390391954
2012-08-01,779000,779.0,34.37231182795699,35.90833333333334,0.9493184375215715,39.68736559139785,41.46666666666667,27.615053763440862,25.508333333333333,12.07231182795699,14.183333333333337,0,0,12,321.5416666666667,33.81989247311828,0.0,39.02808523480157,41.81014000249185,34.267284946236565,315.13055555555553,30.439295101553167,213.3986111111111,34.96370967741935,33.465833333333336,34.18091397849462,8,3,-0.8660254037844385,-0.5000000000000004,742.0,778.0,559.0,751.0,766.3333333333334,612.6666666666666,529.25,1,34.37231182795699,11.624678900739971
2012-09-01,754000,754.0,31.638333333333332,34.083333333333336,1.0227877725052228,37.22944444444445,39.15,25.056388888888886,22.7,12.173055555555557,14.02500000000001,0,0,0,229.15000000000003,35.416666666666664,0.4166666666666667,35.222056260711135,38.56058783655618,33.65811827956989,296.85555555555555,32.16683094384707,250.38750000000002,34.37231182795699,34.96370967741935,32.10527777777778,9,3,-1.0,-1.8369701987210297e-16,779.0,742.0,778.0,732.0,758.3333333333334,675.5,531.0833333333334,1,31.638333333333332,11.205243055555554
2012-10-01,599000,599.0,28.543279569892473,29.691666666666663,1.0085799040924148,33.77177419354839,35.18333333333334,22.6502688172043,20.458333333333332,11.121505376344086,14.341666666666672,0,0,0,140.84166666666667,41.16129032258065,0.9166666666666667,31.890264116695025,34.24065630577587,31.517974910394262,230.5111111111111,32.530757168458784,261.6027777777778,31.638333333333332,34.37231182795699,27.848387096774193,10,4,-0.8660254037844386,0.5000000000000001,754.0,779.0,742.0,406.0,710.6666666666666,701.8333333333334,547.1666666666666,0,0.0,11.748782171349289
2012-11-01,367000,367.0,23.552222222222223,27.516666666666666,2.475707582329871,28.42111111111111,32.23333333333333,18.671388888888888,14.091666666666667,9.749722222222223,12.416666666666671,0,0,0,24.20833333333334,49.21666666666667,8.808333333333334,25.850056522730164,29.737584482225316,27.91127837514934,131.39999999999998,31.08928166069295,223.26527777777778,28.543279569892473,31.638333333333332,21.64527777777778,11,4,-0.5000000000000004,0.8660254037844384,599.0,754.0,779.0,476.0,573.3333333333334,669.8333333333334,538.0833333333334,0,0.0,11.591618703703706
2012-12-01,303000,303.0,19.270967741935483,23.958333333333336,2.1323553215735984,24.00698924731183,28.958333333333336,14.703763440860214,10.6,9.303225806451612,11.574999999999998,0,0,0,0.0,62.28763440860215,16.808333333333334,21.47492081877438,27.781272098031216,23.788823178016724,55.01666666666663,28.723470728793313,175.93611111111113,23.552222222222223,28.543279569892473,17.208064516129035,12,4,-2.4492935982947064e-16,1.0,367.0,599.0,754.0,424.0,423.0,590.6666666666666,528.0,0,0.0,12.003429934096427
2013-01-01,318000,318.0,18.83978494623656,23.09166666666667,2.654478840596256,24.13198924731183,28.625000000000004,13.411559139784947,7.841666666666667,10.720430107526884,13.875000000000004,0,0,0,0.0,46.26881720430107,1.1166666666666667,18.97682041448,24.478699137484153,20.55432497013142,8.06944444444441,26.036149940262845,119.2902777777778,19.270967741935483,23.552222222222223,17.731451612903225,1,1,0.49999999999999994,0.8660254037844387,303.0,367.0,599.0,334.0,329.3333333333333,520.0,526.6666666666666,0,0.0,8.716945658457625
2013-02-01,294000,294.0,20.448214285714283,23.09166666666667,1.7645957422171554,26.20029761904762,29.416666666666664,14.39047619047619,10.35,11.809821428571427,14.491666666666665,0,0,0,0.0,43.577380952380956,0.0,20.70169954231366,24.09857155645611,19.519655657962108,0.0,23.715467016555724,65.7,18.83978494623656,19.270967741935483,19.47212643678161,2,1,0.8660254037844386,0.5000000000000001,318.0,303.0,367.0,303.0,305.0,439.1666666666667,525.9166666666666,0,0.0,8.910796237244897
